iter	RMSE
255	0.1084885162
256	0.1083821538
257	0.1081990469
258	0.1081615124
259	0.1080026841
260	0.1079698982
261	0.1079042432
262	0.1077771118
263	0.1077410151
264	0.1076428027
265	0.1075939769
266	0.1075474503
267	0.107448316
268	0.1073655892
269	0.1073364565
270	0.1072870208
271	0.1071771313
272	0.1071569786
273	0.1071086025
274	0.1069375046
275	0.1068809562
276	0.1067496969
277	0.1066758597
278	0.1066370997
279	0.1064197174
280	0.1063925874
281	0.1062614321
282	0.1061897299
283	0.1060770885
284	0.1059595616
285	0.1059371991
286	0.1059067482
287	0.1058886512
288	0.1058386175
289	0.1058333254
290	0.1058149593
291	0.1057893469
292	0.1057628992
293	0.1056799192
294	0.1056747219
295	0.1055487849
296	0.1054217474
297	0.1053867558
298	0.1053608945
299	0.1052684758
300	0.1052461297
301	0.1051925646
302	0.1051742551
303	0.1050668416
304	0.1050093975
305	0.1049949965
306	0.1049510376
307	0.1049315427
308	0.1048707573
309	0.1048466756
310	0.1048080489
311	0.1047546077
312	0.1047180283
313	0.1045760742
314	0.1045687768
315	0.1044981884
316	0.1044808318
317	0.1044329759
318	0.104414991
319	0.104381922
320	0.1043757358
321	0.1043582521
322	0.1042721309
323	0.1042002065
324	0.1040975342
325	0.104097522
326	0.1039728639
327	0.1039319294
328	0.1038198532
329	0.103747718
330	0.1037168886
331	0.1036199505
332	0.1034955685
333	0.1033864683
334	0.1033661168
335	0.1032907081
336	0.1032544879
337	0.103228385
338	0.1032056664
339	0.1030142148
340	0.1029717141
341	0.102913407
342	0.1028845804
343	0.1028599529
344	0.1028223798
345	0.10277869
346	0.1027379622
347	0.1027010746
348	0.1026808173
349	0.1026680357
350	0.1026089849
351	0.1025067288
352	0.1024632202
353	0.1023935494
354	0.1023408426
355	0.1022401279
356	0.1022314529
357	0.1022173839
358	0.1022033969
359	0.1021376903
360	0.1021244325
361	0.1021109302
362	0.1020938045
363	0.102043018
364	0.1020077116
365	0.1019591901
366	0.1019555335
367	0.101912674
368	0.1018971964
369	0.1018665534
370	0.1018543268
371	0.101838635
372	0.1016704779
373	0.1016608227
374	0.1015802803
375	0.1015602608
376	0.101537176
377	0.1014802378
378	0.1014801303
379	0.1014592929
380	0.1014431683
381	0.1014287785
382	0.101399484
383	0.1013821389
384	0.1013589241
385	0.1013212881
386	0.1012336196
387	0.1011476187
388	0.1010503505
389	0.1010246266
390	0.1009411949
391	0.1009087995
392	0.1008940356
393	0.1008726691
394	0.1008539298
395	0.1007773861
396	0.1007678352
397	0.1006954683
398	0.1006763702
399	0.1005670972
400	0.1004344944
401	0.1004246592
402	0.1004053176
403	0.1003885136
404	0.1003340293
405	0.1002964982
406	0.1002732127
407	0.10026807
408	0.1002091583
409	0.1001744889
410	0.1001527856
411	0.1001444481
412	0.1001328037
413	0.100129752
414	0.1001293696
415	0.1001182106
416	0.1001179234
417	0.1001051002
418	0.100028962
419	0.1000159513
420	0.1000054596
421	0.09993962637
422	0.09988481588
423	0.09983320548
424	0.09977097352
425	0.09970112193
426	0.0996913183
427	0.0996800188
428	0.09965999219
429	0.09964273687
430	0.0996335843
431	0.09963076529
432	0.09956135439
433	0.09955209295
434	0.09951930946
435	0.09942734576
436	0.09942696822
437	0.09942649673
438	0.09941473562
439	0.09940890581
440	0.09932561073
441	0.09928781318
442	0.0992301558
443	0.09922666008
444	0.09916506776
445	0.09914856842
446	0.09902232231
447	0.09894923143
448	0.09893771313
449	0.09893009005
450	0.09886909415
451	0.09882738011
452	0.0988224431
453	0.09873057501
454	0.09869340291
455	0.09862642265
456	0.09861072503
457	0.09857491715
458	0.09855616581
459	0.09854112977
460	0.09853220533
461	0.09846405442
462	0.09841500024
463	0.09838201112
464	0.09834966534
465	0.09833525992
466	0.09822637868
467	0.09818057977
468	0.09817143817
469	0.09815397423
470	0.09814886002
471	0.09813778775
472	0.09807875736
473	0.09803891032
474	0.09801021294
475	0.09793742022
476	0.09788942134
477	0.09786824465
478	0.09786779476
479	0.09786246367
480	0.09785618982
481	0.09779304942
482	0.09775920511
483	0.09774479102
484	0.09768450633
485	0.09763740691
486	0.09762494685
487	0.09756740457
488	0.09753935147
489	0.09751550109
490	0.09750311135
491	0.09748827199
492	0.09748287354
493	0.09744669489
494	0.09743747065
495	0.09742573439
496	0.09741225226
497	0.0973990702
498	0.09733651369
499	0.09727230422
500	0.09721979844
501	0.09720721597
502	0.09709466433
503	0.09696416705
504	0.09696392443
505	0.09691328545
506	0.09689779839
507	0.09687762317
508	0.09683255479
509	0.09679611509
510	0.09675163573
511	0.09668068409
512	0.09668026653
513	0.09665302136
514	0.09663778003
515	0.0965874431
516	0.09653625819
517	0.09650317751
518	0.09648705888
519	0.09647549214
520	0.09647483644
521	0.09640682463
522	0.09634776019
523	0.09631833376
524	0.0962926763
525	0.09626433889
526	0.09626395396
527	0.09626394967
528	0.09615543112
529	0.09610083948
530	0.09600022589
531	0.09599781661
532	0.0959368703
533	0.09591473233
534	0.09588110595
535	0.09577226299
536	0.09574171031
537	0.09572902417
538	0.09568654047
539	0.09567584501
540	0.09565700065
541	0.09559355197
542	0.0955417698
543	0.09551508262
544	0.0955064938
545	0.09542393282
546	0.09541282205
547	0.09540149551
548	0.09539891833
549	0.09537950095
550	0.09532838448
551	0.09530009202
552	0.09528098278
553	0.09518788022
554	0.0951875443
555	0.09517048401
556	0.09510876577
557	0.09509495636
558	0.09508870559
559	0.09507606215
560	0.09507572616
561	0.09502720405
562	0.09500936337
563	0.09499229114
564	0.0949784333
565	0.09495340711
566	0.09494557108
567	0.09492463844
568	0.09489236042
569	0.09478629912
570	0.09474230945
571	0.09472313334
572	0.09470119774
573	0.09469386093
574	0.09469162737
575	0.09467236395
576	0.09458153773
577	0.09451365803
578	0.09447383175
579	0.09443389558
580	0.09441201054
581	0.09440013042
582	0.09436837472
583	0.09436803243
584	0.09436613412
585	0.09435404388
586	0.09433733362
587	0.0943177907
588	0.09423880255
589	0.09423033175
590	0.094213705
591	0.09420645482
592	0.09420040452
593	0.09418039189
594	0.09414097433
595	0.09413447146
596	0.09413031013
597	0.09412484451
598	0.09408564845
599	0.0940758724
600	0.09407431958
601	0.09403533795
602	0.09403491918
603	0.09402985885
604	0.09398504012
605	0.09392302199
606	0.09391382429
607	0.09382729898
608	0.0938106183
609	0.09375671284
610	0.09374882748
611	0.09372045563
612	0.09371339645
613	0.09371306151
614	0.09366670847
615	0.0936474052
616	0.09363694446
617	0.09363430017
618	0.09362301053
619	0.09360944271
620	0.09359427079
621	0.093576065
622	0.09342914574
623	0.09336360324
624	0.09335168474
625	0.09327380727
626	0.09326256018
627	0.09325630843
628	0.09318374582
629	0.09317310317
630	0.0931483274
631	0.09314471599
632	0.09313071131
633	0.09309637804
634	0.09309599101
635	0.0930424006
636	0.09303462172
637	0.09301984978
638	0.09298008882
639	0.09293333617
640	0.09293300165
641	0.0929244068
642	0.092912484
643	0.09285373199
644	0.09281909661
645	0.09281324887
646	0.09278580304
647	0.09276158745
648	0.09275098201
649	0.09273328393
650	0.09272240048
651	0.09272228526
652	0.09266891093
653	0.09265194471
654	0.09263426173
655	0.09263405632
656	0.09262552268
657	0.09256339336
658	0.09254308885
659	0.09248804368
660	0.09247649719
661	0.09247062933
662	0.09243272121
663	0.09243165928
664	0.09243157273
665	0.09240976751
666	0.09238735203
667	0.09233872683
668	0.09231816469
669	0.0923119498
670	0.09229926594
671	0.09226473554
672	0.09222974749
673	0.09220501604
674	0.09219589302
675	0.09213678851
676	0.09212411457
677	0.09211421671
678	0.09210826201
679	0.09208925045
680	0.09203778724
681	0.09202157281
682	0.09200997721
683	0.09196031623
684	0.09191060853
685	0.09190134981
686	0.09185794273
687	0.091846364
688	0.09184488838
689	0.0918418224
690	0.09183391005
691	0.09180067879
692	0.09174732223
693	0.09171266567
694	0.09169305375
695	0.09164190257
696	0.09164178147
697	0.0916326188
698	0.09158415927
699	0.09158400999
700	0.09155949121
701	0.09151949077
702	0.09150907389
703	0.09150819526
704	0.09146373153
705	0.09143135356
706	0.09136557106
707	0.09135856281
708	0.09135546536
709	0.09135444225
710	0.09134305494
711	0.09132226026
712	0.09130677122
713	0.09125745386
714	0.09124726966
715	0.09118273896
716	0.09116672111
717	0.09114949203
718	0.09108090391
719	0.09107241401
720	0.0910723245
721	0.09106527428
722	0.09105773304
723	0.09104523658
724	0.09103570095
725	0.09099341042
726	0.09098476522
727	0.0909326502
728	0.09093130561
729	0.09089594007
730	0.09089415813
731	0.09088917839
732	0.0908799181
733	0.09086958474
734	0.09084993577
735	0.09081381131
736	0.09079931966
737	0.09079032617
738	0.0907781491
739	0.09075905797
740	0.09072872069
741	0.09071400881
742	0.09069271003
743	0.0906711165
744	0.0906336287
745	0.09062479466
746	0.09061237425
747	0.09056180573
748	0.09055371681
749	0.09054609916
750	0.0905450076
751	0.09047432098
752	0.09047117843
753	0.09045678399
754	0.09045100172
755	0.09041734326
756	0.09041639818
757	0.09040231017
758	0.09034872739
759	0.09034553023
760	0.09029857506
761	0.09029758808
762	0.09026089085
763	0.09022376001
764	0.0902213765
765	0.09021115318
766	0.09019359899
767	0.09016117598
768	0.0901472788
769	0.09012102816
770	0.09006641283
771	0.09006453682
772	0.09003683005
773	0.09002367554
774	0.09000936531
775	0.09000936204
776	0.08999949416
777	0.08998345038
778	0.08997675291
779	0.08996777784
780	0.08995729907
781	0.08995386592
782	0.08994587486
783	0.08994154516
784	0.0899335945
785	0.08992580475
786	0.08992474877
787	0.08989428855
788	0.08984950043
789	0.08984483406
790	0.08981805696
791	0.08979072362
792	0.08977306798
793	0.08972837896
794	0.08966583846
795	0.0896381632
796	0.08962085444
797	0.08959889594
798	0.08956178413
799	0.08954533547
800	0.08953505395
801	0.08953408189
802	0.0895332232
803	0.08951926236
804	0.08949528125
805	0.0894885754
806	0.08944449942
807	0.08943131599
808	0.08942812431
809	0.08940912696
810	0.0893811428
811	0.08937766775
812	0.08933478945
813	0.08930785944
814	0.08930096125
815	0.0892613772
816	0.08923755691
817	0.08923328892
818	0.08919992712
819	0.0891851783
820	0.08915191251
821	0.08912937193
822	0.08912840089
823	0.08909916326
824	0.08907368592
825	0.08906101379
826	0.08906038643
827	0.08905840471
828	0.08903987857
829	0.08901536493
830	0.08900013504
831	0.08899945864
832	0.08898516512
833	0.08898211844
834	0.08891507253
835	0.0888929822
836	0.08885572934
837	0.08885555383
838	0.08878433631
839	0.08871260281
840	0.08865838904
841	0.08865035769
842	0.0886475743
843	0.08859808198
844	0.08858464106
845	0.08858274245
846	0.08857106169
847	0.0885704186
848	0.08853059637
849	0.08850599489
850	0.08846230642
851	0.08845431241
852	0.08842972728
853	0.08841625486
854	0.08839116023
855	0.08837076351
856	0.08835904334
857	0.088303102
858	0.08829065405
859	0.08828338693
860	0.08824935105
861	0.08819411295
862	0.08819403502
863	0.08818205072
864	0.08817363735
865	0.08816926064
866	0.08812461519
867	0.08810619583
868	0.08803719402
869	0.08803688506
870	0.0880311641
871	0.08801585693
872	0.08799058275
873	0.08795222885
874	0.08792053419
875	0.0879074843
876	0.08790407794
877	0.08786013285
878	0.08785192516
879	0.08783981349
880	0.08782730764
881	0.08780299033
882	0.08779239794
883	0.08777819618
884	0.08775986106
885	0.08775002334
886	0.08773741866
887	0.0877284441
888	0.0877065739
889	0.0876981258
890	0.08767960004
891	0.08767215663
892	0.08765826917
893	0.08765082446
894	0.08764821907
895	0.08759468141
896	0.08759397856
897	0.08756711111
898	0.08756116301
899	0.08752423365
900	0.08748564133
901	0.08746198721
902	0.08743565923
903	0.08742815462
904	0.08742743246
905	0.08741582074
906	0.08737134318
907	0.08734789368
908	0.08731573894
909	0.08730480377
910	0.08725436326
911	0.08715096515
912	0.0871221324
913	0.08711484296
914	0.08708205272
915	0.08701681407
916	0.0870140258
917	0.08697958947
918	0.08695444215
919	0.08695030368
920	0.08692474387
921	0.0869053055
922	0.0868639002
923	0.08686198688
924	0.08685500019
925	0.08684829936
926	0.08684778957
927	0.08675724181
928	0.08673678101
929	0.0867268126
930	0.0867166847
931	0.08669876546
932	0.08668316898
933	0.0866643507
934	0.08660135542
935	0.08655550365
936	0.08654270686
937	0.08654055622
938	0.08653777955
939	0.08649610604
940	0.08648886787
941	0.08646521272
942	0.08644128236
943	0.0864383199
944	0.08642067729
945	0.08641705973
946	0.08641127365
947	0.08640226264
948	0.08637732426
949	0.08637567319
950	0.0863658042
951	0.08635933477
952	0.0863507575
953	0.08633085154
954	0.086320193
955	0.08631839849
956	0.08627573128
957	0.08625736953
958	0.08623647181
959	0.08620664705
960	0.08620481303
961	0.08618913628
962	0.08617829829
963	0.08615321453
964	0.0861069695
965	0.08609328319
966	0.08607519559
967	0.08607118611
968	0.08604716779
969	0.086008882
970	0.08599897361
971	0.08598322173
972	0.08597957344
973	0.08592598358
974	0.08590443764
975	0.08590267462
976	0.08589281581
977	0.08584843123
978	0.08578647032
979	0.08575363144
980	0.0857107002
981	0.08568995317
982	0.08568396957
983	0.08567663625
984	0.08567546575
985	0.08563670044
986	0.08562696462
987	0.08562614171
988	0.08562230665
989	0.08557507014
990	0.08556035678
991	0.0855059374
992	0.08550526806
993	0.08549241482
994	0.08547945908
995	0.08547098311
996	0.08544977808
997	0.08544738336
998	0.08544431925
999	0.08540287712
