iter	Passed	Remaining
0	4090	69535
1	10157	81263
2	16636	83184
3	21584	75544
4	25866	67254
5	29729	59459
6	48949	76920
7	61637	77046
8	72826	72826
9	86381	69105
10	110916	70583
11	136353	68176
12	173247	66633
13	209665	59904
14	250333	50066
15	275757	34469
16	301398	17729
17	324364	0
